S. No.,Movie,Year,Director,Actors
75,Vertigo,1958,Alfred Hitchcock,"James Stewart, Kim Novak"
76,North by Northwest,1959,Alfred Hitchcock,"Cary Grant, Eva Marie Saint"
77,Reservoir Dogs,1992,Quentin Tarantino,"Harvey Keitel, Tim Roth"
78,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand,"Mark Hamill, Harrison Ford"
79,Kimi no na wa.,2016,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi"
80,M - Eine Stadt sucht einen Mörder,1931,Fritz Lang,"Peter Lorre, Ellen Widmann"
81,Amadeus,1984,Milos Forman,"F. Murray Abraham, Tom Hulce"
82,Dangal,2016,Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar"
83,Requiem for a Dream,2000,Darren Aronofsky,"Ellen Burstyn, Jared Leto"
84,Taare Zameen Par,2007,Aamir Khan,"Darsheel Safary, Aamir Khan"
85,Lawrence of Arabia,1962,David Lean,"Peter O'Toole, Alec Guinness"
86,3 Idiots,2009,Rajkumar Hirani,"Aamir Khan, Madhavan"
87,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,"Jim Carrey, Kate Winslet"
88,2001: A Space Odyssey,1968,Stanley Kubrick,"Keir Dullea, Gary Lockwood"
89,A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee"
90,Toy Story,1995,John Lasseter,"Tom Hanks, Tim Allen"
91,Amélie,2001,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz"
92,Double Indemnity,1944,Billy Wilder,"Fred MacMurray, Barbara Stanwyck"
93,Singin' in the Rain,1952,Stanley Donen,"Gene Kelly, Donald O'Connor"
94,Taxi Driver,1976,Martin Scorsese,"Robert De Niro, Jodie Foster"
95,Inglourious Basterds,2009,Quentin Tarantino,"Brad Pitt, Diane Kruger"
96,Full Metal Jacket,1987,Stanley Kubrick,"Matthew Modine, R. Lee Ermey"
97,To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck, John Megna"
98,Ladri di biciclette,1948,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola"
99,The Kid,1921,Charles Chaplin,"Charles Chaplin, Edna Purviance"
100,The Sting,1973,George Roy Hill,"Paul Newman, Robert Redford"
101,Good Will Hunting,1997,Gus Van Sant,"Robin Williams, Matt Damon"
102,Toy Story 3,2010,Lee Unkrich,"Tom Hanks, Tim Allen"
103,Jagten,2012,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen"
104,Snatch,2000,Guy Ritchie,"Jason Statham, Brad Pitt"
105,Scarface,1983,Brian De Palma,"Al Pacino, Michelle Pfeiffer"
